checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,6,critical/order existing credit,radio/tv,1169,no known savings,>=7,4,male single,none,4,real estate,67,stores,own,2,skilled,1,yes,yes,good
0<=X<200,48,existing paid,radio/tv,5951,<100,1<=X<4,2,female div/dep/mar,none,2,real estate,22,stores,own,1,skilled,1,none,yes,bad
no checking,12,critical/order existing credit,education,2096,<100,4<=X<7,2,male single,none,3,real estate,49,stores,own,1,unskilled resident,2,none,yes,good
<0,42,existing paid,furniture/equipment,7882,<100,4<=X<7,2,male single,guarantor,4,life insurance,45,stores,for free,1,skilled,2,none,yes,good
<0,24,delayed previously,new car,4870,<100,1<=X<4,3,male single,none,4,no known property,53,stores,for free,2,skilled,2,none,yes,bad
no checking,36,existing paid,education,9055,no known savings,1<=X<4,2,male single,none,4,no known property,35,stores,for free,1,unskilled resident,2,yes,yes,good
no checking,24,existing paid,furniture/equipment,2835,500<=X<10000,>=7,3,male single,none,4,life insurance,53,stores,own,1,skilled,1,none,yes,good
0<=X<200,36,existing paid,used car,6948,<100,1<=X<4,2,male single,none,2,car,35,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,existing paid,radio/tv,3059,>=1000,4<=X<7,2,male div/sep,none,4,real estate,61,stores,own,1,unskilled resident,1,none,yes,good
0<=X<200,30,critical/order existing credit,new car,5234,<100,unemployed,4,male mar/wid,none,2,car,28,stores,own,2,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,12,existing paid,new car,1295,<100,<1,3,female div/dep/mar,none,1,car,25,stores,NA,1,skilled,1,none,yes,bad
<0,48,existing paid,business,4308,<100,<1,3,female div/dep/mar,none,4,life insurance,24,stores,rent,1,skilled,1,none,yes,bad
0<=X<200,12,existing paid,radio/tv,1567,<100,1<=X<4,1,female div/dep/mar,none,1,car,22,stores,own,1,skilled,1,yes,yes,good
<0,24,critical/order existing credit,new car,1199,<100,>=7,4,male single,none,4,car,60,stores,own,2,unskilled resident,NA,none,yes,bad
<0,15,existing paid,new car,1403,<100,1<=X<4,2,female div/dep/mar,none,4,car,28,stores,rent,1,skilled,1,none,yes,good
<0,24,existing paid,radio/tv,1282,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,car,32,NA,own,1,NA,1,none,yes,bad
no checking,24,critical/order existing credit,radio/tv,2424,no known savings,>=7,4,male single,none,4,life insurance,NA,stores,own,2,skilled,1,none,yes,good
<0,30,no credits/all paid,business,8072,no known savings,<1,2,male single,none,3,car,25,bank,own,3,skilled,1,none,yes,good
0<=X<200,24,existing paid,used car,12579,<100,>=7,4,female div/dep/mar,none,NA,no known property,44,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
no checking,24,existing paid,radio/tv,3430,500<=X<10000,>=7,3,male single,none,2,car,31,stores,own,1,skilled,2,yes,yes,good
no checking,9,critical/order existing credit,new car,2134,<100,1<=X<4,4,male single,none,4,car,48,stores,own,3,skilled,1,NA,yes,good
<0,6,existing paid,radio/tv,2647,500<=X<10000,1<=X<4,2,male single,none,3,real estate,44,stores,rent,1,skilled,2,none,yes,good
<0,10,critical/order existing credit,new car,2241,<100,<1,1,male single,none,3,real estate,48,stores,rent,2,unskilled resident,2,none,no,good
